,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
196,22-06-2023 4:00:00 - 5:00:00,45099.375,834,833.5333,0 ,0.0,100 ,10000.0
197,22-06-2023 5:00:00 - 6:00:00,45099.4166666667,838,837.7,0 ,0.0,100 ,10000.0
198,22-06-2023 6:00:00 - 7:00:00,45099.4583333333,838,837.7667,0 ,0.0,100 ,10000.0
199,22-06-2023 7:00:00 - 8:00:00,45099.5,844,844.2167,0 ,0.0,100 ,10000.0
200,22-06-2023 8:00:00 - 9:00:00,45099.5416666667,844,843.9167,0 ,0.0,100 ,10000.0
201,22-06-2023 9:00:00 - 10:00:00,45099.5833333333,1.023,1023.15,0 ,0.0,100 ,10000.0
202,22-06-2023 10:00:00 - 11:00:00,45099.625,887,887.4667,0 ,0.0,100 ,10000.0
203,22-06-2023 11:00:00 - 12:00:00,45099.6666666667,917,917.0667,0 ,0.0,100 ,10000.0
204,22-06-2023 12:00:00 - 13:00:00,45099.7083333333,857,857.05,0 ,0.0,100 ,10000.0
205,22-06-2023 13:00:00 - 14:00:00,45099.75,859,859.4,0 ,0.0,100 ,10000.0
206,22-06-2023 14:00:00 - 15:00:00,45099.7916666667,869,868.6833,0 ,0.0,100 ,10000.0
207,22-06-2023 15:00:00 - 16:00:00,45099.8333333333,849,848.8,0 ,0.0,100 ,10000.0
208,22-06-2023 16:00:00 - 17:00:00,45099.875,884,884.45,0 ,0.0,100 ,10000.0
209,22-06-2023 17:00:00 - 18:00:00,45099.9166666667,1.565,1565.35,0 ,0.0,100 ,10000.0
210,22-06-2023 18:00:00 - 19:00:00,45099.9583333333,881,880.8333,0 ,0.0,100 ,10000.0
211,22-06-2023 19:00:00 - 20:00:00,45100.0,879,879.0167,0 ,0.0,100 ,10000.0
212,22-06-2023 20:00:00 - 21:00:00,45100.0416666667,872,871.7333,0 ,0.0,100 ,10000.0
213,22-06-2023 21:00:00 - 22:00:00,45100.0833333333,897,896.7333,0 ,0.0,100 ,10000.0
214,22-06-2023 22:00:00 - 23:00:00,45100.125,876,876.0,0 ,0.0,100 ,10000.0
215,22-06-2023 23:00:00 - 0:00:00,45100.1666666667,877,877.05,0 ,0.0,100 ,10000.0
216,23-06-2023 0:00:00 - 1:00:00,45100.2083333333,1.398,1397.8,0 ,0.0,100 ,10000.0
217,23-06-2023 1:00:00 - 2:00:00,45100.25,915,914.9667,0 ,0.0,100 ,10000.0
218,23-06-2023 2:00:00 - 3:00:00,45100.2916666667,874,873.7833,0 ,0.0,100 ,10000.0
219,23-06-2023 3:00:00 - 4:00:00,45100.3333333333,870,869.9333,0 ,0.0,100 ,10000.0
220,23-06-2023 4:00:00 - 5:00:00,45100.375,863,862.8167,0 ,0.0,100 ,10000.0
221,23-06-2023 5:00:00 - 6:00:00,45100.4166666667,859,859.1833,0 ,0.0,100 ,10000.0
222,23-06-2023 6:00:00 - 7:00:00,45100.4583333333,844,844.2105,2 ,1.69,100 ,10000.0
